document_number,publication_date,product_name,hs_codes,countries,html_url,document_title
 2020-17055,08/05/2020,Chassis,"['8716.39.00', '8716.90.50']",['China'],https://www.federalregister.gov/documents/2020/08/05/2020-17055/chassis-from-china-institution-of-antidumping-and-countervailing-duty-investigations-and-scheduling,Chassis From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-15277,07/15/2020,Metal lockers,"['9403.20.00', '9403.20.00', '9403.90.80', '9403.90.80']",['China'],https://www.federalregister.gov/documents/2020/07/15/2020-15277/metal-lockers-from-china-institution-of-antidumping-and-countervailing-duty-investigations-and,Metal Lockers From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-16923,08/04/2020,Methionine,"['2930.40.00', '2930.90.46']","['France', 'Japan', 'Spain']",https://www.federalregister.gov/documents/2020/08/04/2020-16923/methionine-from-france-japan-and-spain-institution-of-anti-dumping-duty-investigations-and,"Methionine From France, Japan, and Spain; Institution of Anti-Dumping Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2020-22658,10/14/2020,Thermal paper,"['4811.90.80', '4811.90.90']","['Germany', 'Japan', 'Korea', 'Spain']",https://www.federalregister.gov/documents/2020/10/14/2020-22658/institution-of-anti-dumping-duty-investigations-and-scheduling-of-preliminary-phase-investigations,"Institution of Anti-Dumping Duty Investigations and Scheduling of Preliminary Phase Investigations; Thermal Paper From Germany, Japan, Korea, and Spain"
 2020-14541,07/07/2020,Seamless refined copper pipe and tube,['7411.10.10'],['Vietnam'],https://www.federalregister.gov/documents/2020/07/07/2020-14541/seamless-refined-copper-pipe-and-tube-from-vietnam-institution-of-an-anti-dumping-duty-investigation,Seamless Refined Copper Pipe and Tube From Vietnam; Institution of an Anti-Dumping Duty Investigation and Scheduling of Preliminary Phase Investigation
 2020-15162,07/14/2020,"Seamless carbon and alloy steel standard, line, and pressure pipe (“sslp pipe”)","['7304.19.10', '7304.19.50', '7304.31.60', '7304.39.00', '7304.51.50', '7304.59.60', '7304.59.80']","['Czechia', 'Korea', 'Russia', 'Ukraine']",https://www.federalregister.gov/documents/2020/07/14/2020-15162/seamless-carbon-and-alloy-steel-standard-line-and-pressure-pipe-sslp-pipe-from-czechia-korea-russia,"Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe (“SSLP Pipe”) from Czechia, Korea, Russia, and Ukraine; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2020-10669,05/19/2020,Passenger vehicle and light truck tires,"['4011.10.10', '4011.10.50', '4011.20.10', '4011.20.50']","['Korea', 'Taiwan', 'Thailand', 'Vietnam']",https://www.federalregister.gov/documents/2020/05/19/2020-10669/passenger-vehicle-and-light-truck-tires-from-korea-taiwan-thailand-and-vietnam-institution-of,"Passenger Vehicle and Light Truck Tires From Korea, Taiwan, Thailand, and Vietnam; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2020-14297,07/02/2020,Twist ties,"['8309.90.00', '5609.00.30', '3906.90.20', '3920.51.50', '3923.90.00', '3926.90.99', '4811.59.60', '4821.10.40', '4821.90.20', '4823.90.86']",['China'],https://www.federalregister.gov/documents/2020/07/02/2020-14297/twist-ties-from-china-institution-of-anti-dumping-and-countervailing-duty-investigations-and,Twist Ties From China; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations
 2020-22026,10/06/2020,Utility scale wind towers,"['7308.20.00', '8502.31.00']","['India', 'Malaysia', 'Spain']",https://www.federalregister.gov/documents/2020/10/06/2020-22026/utility-scale-wind-towers-from-india-malaysia-and-spain-institution-of-anti-dumping-and,"Utility Scale Wind Towers from India, Malaysia, and Spain; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
 2020-21953,10/05/2020,Aluminum foil,"['7607.11.30', '7607.11.60', '7607.11.90', '7607.19.60']","['Armenia', 'Brazil', 'Oman', 'Russia', 'Turkey']",https://www.federalregister.gov/documents/2020/10/05/2020-21953/aluminum-foil-from-armenia-brazil-oman-russia-and-turkey-institution-of-anti-dumping-and,"Aluminum Foil From Armenia, Brazil, Oman, Russia, and Turkey; Institution of Anti-Dumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations"
